Unit Name,Current Guesty Tags,CITY,PMC-INFORMATION,PROPERTY-EMAIL,VILLA NET DESTINATION TAG,VILLA NET PROPERTY MANAGER NAME,VILLA NET PARTNER RESERVATION EMAIL,VILLA NET RANK,VILLA NET COMMISSION RATE,VILLA NET EXCLUSIVE UNITS MANAGED,VILLA NET YEARS IN BUSINESS,VILLA NET AVG RESPONSE TIME HOURS,VILLA NET CALENDAR SYNC 99,VILLA NET CREDIT CARD ACCEPTED,VILLA NET INSURED,VILLA NET BANK TRANSFER ACCEPTED,VILLA NET STANDARDIZED HOUSEKEEPING,VILLA NET STAFF GRATUITY GUIDELINE,VILLA NET GATED COMMUNITY,VILLA NET GOLF VILLA,VILLA NET RESORT VILLA,VILLA NET RESORT COLLECTION NAME,VILLA NET CHEF INCLUDED,VILLA NET TRUE BEACH FRONT,VILLA NET COOK INCLUDED,VILLA NET WAITER BUTLER INCLUDED,VILLA NET OCEAN FRONT,VILLA NET OCEAN VIEW,VILLA NET WALK TO BEACH,VILLA NET ACCESSIBLE,VILLA NET PRIVATE GYM,VILLA NET PRIVATE CINEMA,VILLA NET PICKLEBALL,VILLA NET TENNIS,VILLA NET GOLF CART INCLUDED,VILLA NET HEATED POOL
Little Bay View,"Property in Paradise, Anguilla",The Valley,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Ocean Pearl Villa,"Property in Paradise, Anguilla",Blowing Point,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Peace & Happiness,"Property in Paradise, Anguilla",Blowing Point,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Pelican Bay 4BR,"Property in Paradise, Anguilla",Blowing Point,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
SongBird Villa 4BR,"Property in Paradise, Anguilla",Lower South Hill,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Tequila Sunrise,"Property in Paradise, Anguilla",The Quarter,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Tigh na Mara,"Property in Paradise, Anguilla",George Hill,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Waves Villa,"Property in Paradise, Anguilla",Shoal Bay Village,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Alegria Villa,"Ricketts, Anguilla",Blowing Point,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Anani at Kamique,"Ricketts, Anguilla",George Hill,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Angel Point,"Ricketts, Anguilla",George Hill,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beaches Edge,"Ricketts, Anguilla",Blowing Point,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bird of Paradise 4BR,"Ricketts, Anguilla",The Valley,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Champagne Shores,"Ricketts, Anguilla",Lockrum Bay,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Frangipani,"Ricketts, Anguilla",Meads Bay,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Kishti (East),"Ricketts, Anguilla",Meads Bay,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Kishti (West),"Ricketts, Anguilla",Meads Bay,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Kishti Blackgarden,"Ricketts, Anguilla",North Side,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Kishti Estate (E&W),"Ricketts, Anguilla",Meads Bay,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Limin' Da Coconut,"Ricketts, Anguilla",Little Harbour,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Modena Estate,"Ricketts, Anguilla",West End,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Nevaeh Villa 9BR,"Ricketts, Anguilla",The Valley,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Odyssey Villa 3BR,"Ricketts, Anguilla",George Hill,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Paradise 7BR,"Ricketts, Anguilla",Blowing Point Village,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Rendezvous Villa,"Ricketts, Anguilla",Long Bay Village,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Round Rock Estate,"Ricketts, Anguilla",Lockrum Bay,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sand in Long Bay,"Ricketts, Anguilla",The Valley,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sandcastle Beach Hou,"Ricketts, Anguilla",Limestone Bay,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sandcastle Villa 5BR,"Ricketts, Anguilla",Limestone Bay,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Santosha Estate,"Ricketts, Anguilla",Long Bay,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sea in Long Bay,"Ricketts, Anguilla",Long Bay Village,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sheriva - Harmony,"Ricketts, Anguilla",West End,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sheriva - Infinity,"Ricketts, Anguilla",West End,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sheriva - Mystique,"Ricketts, Anguilla",West End,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Shiloh Estate,"Ricketts, Anguilla",Long Bay Village,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sky in Long Bay,"Ricketts, Anguilla",Long Bay Village,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Triton 6B at Kamique,"Ricketts, Anguilla",Little Harbour,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Amarilla,"Ricketts, Anguilla",Island Harbor,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Indigo,"Ricketts, Anguilla",Little Harbor,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Kandara,"Ricketts, Anguilla",West End,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Le Bleu,"Ricketts, Anguilla",George Hill,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Zenaida 7BR,"Ricketts, Anguilla",Sandy Hill,Ricketts Luxury,Shevonne@rickettsluxury.com,Anguilla,Ricketts Luxury,Shevonne@rickettsluxury.com,8.7,12,34,30,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Reve Noir,"Sotheby, Anguilla",Cedar Village,Sotheby - Anguilla,apolline@stmartinsothebysrealty.com,Anguilla,Sotheby's Anguilla,reservations@stmartinsothebysrealty.com,9.7,12,70,20,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Aqua Sound,"Good Life, Bahamas",Rolletown,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bahari,"Good Life, Bahamas",Hartswell,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Balleymena,"Good Life, Bahamas",Hartswell,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beyond Blue Exuma,"Good Life, Bahamas",Moss Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Casa Bella Bahamas,"Good Life, Bahamas",Hartswell,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Coconut Shy Cottage,"Good Life, Bahamas",Dunmore Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Coconut Shy Estate,"Good Life, Bahamas",Dunmore Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Grotto Bay 5BR,"Good Life, Bahamas",McKann's Settlement,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
King's Surf Shack,"Good Life, Bahamas",Dunmore Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Kings Crown,"Good Life, Bahamas",Dunmore Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Lattitude Adjustment,"Good Life, Bahamas",Moss Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Marina House,"Good Life, Bahamas",Hartswell,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Moonflower,"Good Life, Bahamas",Gregory Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Peeps Cottage,"Good Life, Bahamas",Hartswell,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Savage Sands Villa,"Good Life, Bahamas",Moss Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sea Star Villa,"Good Life, Bahamas",George Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sueno De Mar,"Good Life, Bahamas",Hartswell,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Summit Exuma,"Good Life, Bahamas",George Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sunnyside,"Good Life, Bahamas",Dunmore Town,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Surf House,"Good Life, Bahamas",Hartswell,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Ana,"Good Life, Bahamas",Hartswell,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Villa Exuma,"Good Life, Bahamas",Hartswell,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,Bahamas,Good Life Vacation Rentals,isaac@thegoodlifebahamas.com,9.7,5,22,10,2,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Above the Clouds 6BR,"Altman, Barbados",Deanes,Altman Barbados,villas@altmanbarbados.com,Barbados,Altman Real Estate Group,villas@altmanbarbados.com,9.1,12,27,40,6,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Alila 4BR Sandy Lane,"Altman, Barbados",Holetown,Altman Barbados,villas@altmanbarbados.com,Barbados,Altman Real Estate Group,villas@altmanbarbados.com,9.1,12,27,40,6,yes,yes,yes,yes,yes,10-15%,yes,yes,yes,Sandy Lane Estates,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Blue Waters 5BR,"Altman, Barbados",Mount Standfast,Altman Barbados,villas@altmanbarbados.com,Barbados,Altman Real Estate Group,villas@altmanbarbados.com,9.1,12,27,40,6,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Calabash,"Altman, Barbados",Gibbes,Altman Barbados,villas@altmanbarbados.com,Barbados,Altman Real Estate Group,villas@altmanbarbados.com,9.1,12,27,40,6,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Calliaqua 5BR,"Altman, Barbados",Mount Standfast,Altman Barbados,villas@altmanbarbados.com,Barbados,Altman Real Estate Group,villas@altmanbarbados.com,9.1,12,27,40,6,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Elsewhere 10BR,"Altman, Barbados",Holetown,Altman Barbados,villas@altmanbarbados.com,Barbados,Altman Real Estate Group,villas@altmanbarbados.com,9.1,12,27,40,6,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Godings Beach House,"Altman, Barbados",Little Battaleys,Altman Barbados,villas@altmanbarbados.com,Barbados,Altman Real Estate Group,villas@altmanbarbados.com,9.1,12,27,40,6,yes,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
